"","Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection","subject_id","mystery_id"
"1","SRX3139489","fecal sample from HMP2: Subject H4020C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472324",NA,981.23,1,12069577,2363597386,"G95654_MGX","WGS","METAGENOMIC","RANDOM","H4020",NA
"2","SRX3139488","fecal sample from HMP2: Subject C3011C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472322",NA,1370.98,1,16621016,3243376740,"G95655_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"3","SRX3139487","fecal sample from HMP2: Subject H4022C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472321",NA,1377.78,1,16684438,3266450934,"G95656_MGX","WGS","METAGENOMIC","RANDOM","H4022",NA
"4","SRX3139486","fecal sample from HMP2: Subject C3017C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472323",NA,1273.85,1,15637999,3058708177,"G95657_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"5","SRX3139485","fecal sample from HMP2: Subject C3011C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472842",NA,846.59,1,11390074,2258081562,"G95748_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"6","SRX3139484","fecal sample from HMP2: Subject C3017C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472319",NA,1373.63,1,18187506,3584781425,"G95747_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"7","SRX3139483","fecal sample from HMP2: Subject C3013C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472320",NA,455.78,1,5530064,1077167064,"G95660_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"8","SRX3139482","fecal sample from HMP2: Subject C3011C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472318",NA,532.06,1,6453786,1259739981,"G95661_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"9","SRX3139481","fecal sample from HMP2: Subject C3010C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472317",NA,1016.57,1,13722658,2721187351,"G95743_MGX","WGS","METAGENOMIC","RANDOM","C3010",NA
"10","SRX3139480","fecal sample from HMP2: Subject C3011C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472316",NA,756.76,1,10371155,2056061543,"G95742_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"11","SRX3139479","fecal sample from HMP2: Subject C3015C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472315",NA,1347.59,1,18128140,3593927610,"G95746_MGX","WGS","METAGENOMIC","RANDOM","C3015",NA
"12","SRX3139478","fecal sample from HMP2: Subject C3011C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472313",NA,1148.09,1,15210036,3009511523,"G95745_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"13","SRX3139477","fecal sample from HMP2: Subject C3011C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472314",NA,1019.52,1,13626036,2687474999,"G95739_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"14","SRX3139476","fecal sample from HMP2: Subject H4013C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472312",NA,1968.59,1,26316254,5216305661,"G95737_MGX","WGS","METAGENOMIC","RANDOM","H4013",NA
"15","SRX3139475","fecal sample from HMP2: Subject M2086C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472311",NA,1080.01,1,14476100,2868053607,"G95741_MGX","WGS","METAGENOMIC","RANDOM","M2086",NA
"16","SRX3139474","fecal sample from HMP2: Subject H4008C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472310",NA,966.6,1,12640251,2492169304,"G95740_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"17","SRX3139473","fecal sample from HMP2: Subject P6009C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472309",NA,3009.14,1,40035824,7915718271,"G95812_MGX","WGS","METAGENOMIC","RANDOM","P6009",NA
"18","SRX3139472","fecal sample from HMP2: Subject H4009C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472308",NA,1345.93,1,18178475,3602941553,"G95813_MGX","WGS","METAGENOMIC","RANDOM","H4009",NA
"19","SRX3139471","fecal sample from HMP2: Subject H4013C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472307",NA,1269.25,1,16936217,3354917444,"G95806_MGX","WGS","METAGENOMIC","RANDOM","H4013",NA
"20","SRX3139470","fecal sample from HMP2: Subject H4008C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472306",NA,1057.62,1,14140755,2805728717,"G95807_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"21","SRX3139469","fecal sample from HMP2: Subject H4008C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472304",NA,1138.32,1,15156135,3005047516,"G95804_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"22","SRX3139468","fecal sample from HMP2: Subject H4010C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472305",NA,1245.83,1,16716043,3316164705,"G95805_MGX","WGS","METAGENOMIC","RANDOM","H4010",NA
"23","SRX3139467","fecal sample from HMP2: Subject C3013C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472303",NA,2707.91,1,36419948,7213511158,"G95810_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
