"","x"
"1","MV_FEI1_t1Q14"
"2","MV_FEI2_t1Q14"
"3","MV_FEI3_t1Q14"
"4","MV_FEI4_t1Q14"
"5","MV_FEI4_t2Q15"
"6","MV_FEI5_t1Q14"
"7","MV_FEI5_t2Q14"
"8","MV_FEI5_t3Q15"
"9","MV_FEM1_t1Q14"
"10","MV_FEM2_t1Q14"
"11","MV_FEM3_t1Q14"
"12","MV_FEM4_t1Q14"
"13","MV_FEM4_t2Q15"
"14","MV_FEM5_t1Q14"
"15","MV_FEM5_t2Q14"
"16","MV_FEM5_t3Q15"
"17","SAMEA7041133"
"18","SAMEA7041134"
"19","SAMEA7041135"
"20","SAMEA7041136"
"21","SAMEA7041137"
"22","SAMEA7041138"
"23","SAMEA7041139"
"24","SAMEA7041140"
"25","SAMEA7041141"
"26","SAMEA7041142"
"27","SAMEA7041143"
"28","SAMEA7041144"
"29","SAMEA7041145"
"30","SAMEA7041146"
"31","SAMEA7041147"
"32","SAMEA7041148"
"33","SAMEA7041149"
"34","SAMEA7041150"
"35","SAMEA7041151"
"36","SAMEA7041152"
"37","SAMEA7041153"
"38","SAMEA7041154"
"39","SAMEA7041155"
"40","SAMEA7041156"
"41","SAMEA7041157"
"42","SAMEA7041158"
"43","SAMEA7041159"
"44","SAMEA7041160"
"45","SAMEA7041161"
"46","SAMEA7041162"
"47","SAMEA7041163"
"48","SAMEA7041164"
"49","SAMEA7041165"
"50","SAMEA7041166"
"51","SAMEA7041167"
"52","SAMEA7041168"
"53","SAMEA7041169"
"54","SAMEA7041170"
"55","SAMEA7041171"
"56","SAMEA7041172"
"57","SAMEA7041173"
"58","SAMEA7041174"
"59","SAMEA7041175"
"60","SAMEA7041176"
"61","SAMEA7041177"
"62","SAMEA7041178"
"63","SAMEA7041179"
"64","SAMEA7041180"
"65","SAMEA7041181"
"66","SAMEA7041182"
"67","SAMEA7041183"
"68","SAMEA7041184"
"69","SAMEA7041185"
"70","SAMEA7041186"
"71","SAMEA7041187"
"72","SAMEA7041188"
"73","SAMEA7041189"
"74","SAMEA7041190"
"75","SAMEA7041191"
"76","SAMEA7041192"
"77","SAMEA7041193"
"78","SAMEA7041194"
"79","SAMEA7041195"
"80","SAMEA7041196"
"81","SAMEA7041197"
"82","SAMEA7041198"
"83","SAMEA7041199"
"84","SAMEA7041200"
"85","SAMEA7041201"
"86","SAMEA7041202"
"87","SAMEA7041203"
"88","SAMEA7041204"
"89","SAMEA7041205"
"90","SAMEA7041206"
"91","SAMEA7041207"
"92","SAMEA7041208"
"93","SAMEA7041209"
"94","SAMEA7041210"
"95","SAMEA7041211"
"96","SAMEA7041212"
"97","SAMEA7041213"
"98","SAMEA7041214"
"99","SAMEA7041215"
"100","SAMEA7041216"
"101","SAMEA7041217"
"102","SAMEA7041218"
"103","SAMEA7041219"
"104","SAMEA7041220"
"105","SAMEA7041221"
"106","SAMEA7041222"
"107","SAMEA7041223"
"108","SAMEA7041224"
"109","SAMEA7041225"
"110","SAMEA7041226"
"111","SAMEA7041227"
"112","SAMEA7041228"
"113","SAMEA7041229"
"114","SAMEA7041230"
"115","SAMEA7041231"
"116","SAMEA7041232"
"117","SAMEA7041233"
"118","SAMEA7041234"
"119","SAMEA7041235"
"120","SAMEA7041236"
"121","SAMEA7041237"
"122","SAMEA7041238"
"123","SAMEA7041239"
"124","SAMEA7041240"
"125","SAMEA7041241"
"126","SAMEA7041242"
"127","SAMEA7041243"
"128","SAMEA7041244"
"129","SAMEA7041245"
"130","SAMEA7041246"
"131","SAMEA7041247"
"132","SAMEA7041248"
"133","SAMEA7041249"
"134","SAMEA7041250"
"135","SAMEA7041251"
"136","SAMEA7041252"
"137","SAMEA7041253"
"138","SAMEA7041254"
"139","SAMEA7041255"
"140","SAMEA7041256"
"141","SAMEA7041257"
"142","SAMEA7041258"
"143","SAMEA7041259"
"144","SAMEA7041260"
"145","SAMEA7041261"
"146","SAMEA7041262"
"147","SAMEA7041263"
"148","SAMEA7041264"
"149","SAMEA7041265"
"150","SAMEA7041266"
"151","SAMEA7041267"
"152","SAMEA7041268"
"153","SAMEA7041269"
"154","SAMEA7041270"
"155","SAMEA7041271"
"156","SAMEA7041272"
"157","SAMEA7041273"
