,superkingdom,phylum,class,order,family,genus,species
Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
Bifidobacterium bifidum,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum
Bifidobacterium longum,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
Enterococcus faecalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
Ruminococcus gnavus,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,Ruminococcus gnavus
Veillonella atypica,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella atypica
Bifidobacterium breve,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve
Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
Veillonella parvula,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula
Clostridium sp. MSTE9,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp. MSTE9
Megasphaera micronuciformis,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis
Streptococcus salivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius
Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile
Stenotrophomonas maltophilia,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia
Enterococcus faecium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
Veillonella dispar,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella dispar
