,,,,genus,genus,family,family,order,order,class,class,phylum,phylum
Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia,Escherichia,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Bifidobacterium bifidum,Bifidobacterium bifidum,Bifidobacterium bifidum,Bifidobacterium bifidum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Enterococcus faecalis,Enterococcus faecalis,Enterococcus faecalis,Enterococcus faecalis,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Ruminococcus gnavus,Ruminococcus gnavus,Ruminococcus gnavus,Ruminococcus gnavus,Mediterraneibacter,Mediterraneibacter,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Veillonella atypica,Veillonella atypica,Veillonella atypica,Veillonella atypica,Veillonella,Veillonella,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Bifidobacterium breve,Bifidobacterium breve,Bifidobacterium breve,Bifidobacterium breve,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Klebsiella pneumoniae,Klebsiella pneumoniae,Klebsiella pneumoniae,Klebsiella pneumoniae,Klebsiella,Klebsiella,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Veillonella parvula,Veillonella parvula,Veillonella parvula,Veillonella parvula,Veillonella,Veillonella,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Clostridium sp. MSTE9,Clostridium sp. MSTE9,Clostridium sp. MSTE9,Clostridium sp. MSTE9,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
