"","strain","hit_score.atoA","hit_id.atoA","description.atoA","hit_score.atoD","hit_id.atoD","description.atoD","hit_score.bcd","hit_id.bcd","description.bcd","hit_score.kal","hit_id.kal","description.kal","hit_score.kamA","hit_id.kamA","description.kamA","hit_score.kamD","hit_id.kamD","description.kamD","hit_score.kamE","hit_id.kamE","description.kamE","hit_score.kce","hit_id.kce","description.kce","hit_score.kdd","hit_id.kdd","description.kdd","pathway"
"65","Alistipes-putredinis-DSM-17216-MAF-2",376.8,"1_1930/1-218","Alistipes-putredinis-DSM-17216-MAF-2_atoA",355.7,"1_1921/1-214","Alistipes-putredinis-DSM-17216-MAF-2_atoD",701.2,"1_1933/1-379","Alistipes-putredinis-DSM-17216-MAF-2_bcd",234.2,"1_1922/1-126","Alistipes-putredinis-DSM-17216-MAF-2_kal",701.8,"1_1925/9-418","Alistipes-putredinis-DSM-17216-MAF-2_kamA",996.1,"1_1928/4-519","Alistipes-putredinis-DSM-17216-MAF-2_kamD",491,"1_1929/1-260","Alistipes-putredinis-DSM-17216-MAF-2_kamE",450.9,"1_1923/1-273","Alistipes-putredinis-DSM-17216-MAF-2_kce",618.1,"1_1924/1-346","Alistipes-putredinis-DSM-17216-MAF-2_kdd","lysine"
"326","Butyricimonas-virosa-DSM-23226-MAF-2",378.5,"1_641/1-217","Butyricimonas-virosa-DSM-23226-MAF-2_atoA",358.9,"1_631/1-214","Butyricimonas-virosa-DSM-23226-MAF-2_atoD",703.6,"1_643/1-379","Butyricimonas-virosa-DSM-23226-MAF-2_bcd",235.8,"1_632/1-127","Butyricimonas-virosa-DSM-23226-MAF-2_kal",707,"1_636/3-413","Butyricimonas-virosa-DSM-23226-MAF-2_kamA",999.7,"1_639/3-517","Butyricimonas-virosa-DSM-23226-MAF-2_kamD",492.6,"1_640/1-261","Butyricimonas-virosa-DSM-23226-MAF-2_kamE",436.1,"1_633/1-273","Butyricimonas-virosa-DSM-23226-MAF-2_kce",632.5,"1_634/2-347","Butyricimonas-virosa-DSM-23226-MAF-2_kdd","lysine"
"335","Butyricimonas_faecihominis",376.3,"NZ_JACIES010000002.1_456/1-217","Butyricimonas_faecihominis_atoA",358.5,"NZ_JACIES010000002.1_446/1-214","Butyricimonas_faecihominis_atoD",706.9,"NZ_JACIES010000002.1_458/1-379","Butyricimonas_faecihominis_bcd",236.2,"NZ_JACIES010000002.1_447/1-127","Butyricimonas_faecihominis_kal",706.4,"NZ_JACIES010000002.1_451/3-413","Butyricimonas_faecihominis_kamA",1000,"NZ_JACIES010000002.1_454/3-517","Butyricimonas_faecihominis_kamD",494,"NZ_JACIES010000002.1_455/1-261","Butyricimonas_faecihominis_kamE",437.5,"NZ_JACIES010000002.1_448/1-273","Butyricimonas_faecihominis_kce",632.5,"NZ_JACIES010000002.1_449/2-347","Butyricimonas_faecihominis_kdd","lysine"
"344","Butyricimonas_paravirosa",376.3,"NZ_BMPA01000012.1_50/1-217","Butyricimonas_paravirosa_atoA",358.5,"NZ_BMPA01000012.1_60/1-214","Butyricimonas_paravirosa_atoD",704.8,"NZ_BMPA01000012.1_48/1-379","Butyricimonas_paravirosa_bcd",237,"NZ_BMPA01000012.1_59/1-127","Butyricimonas_paravirosa_kal",706.4,"NZ_BMPA01000012.1_55/3-413","Butyricimonas_paravirosa_kamA",999.1,"NZ_BMPA01000012.1_52/3-517","Butyricimonas_paravirosa_kamD",492.6,"NZ_BMPA01000012.1_51/1-261","Butyricimonas_paravirosa_kamE",438.5,"NZ_BMPA01000012.1_58/1-273","Butyricimonas_paravirosa_kce",632.5,"NZ_BMPA01000012.1_57/2-347","Butyricimonas_paravirosa_kdd","lysine"
"353","Butyricimonas_synergistica",372.1,"NZ_KB903359.1_1568/1-217","Butyricimonas_synergistica_atoA",361,"NZ_KB903359.1_1558/1-214","Butyricimonas_synergistica_atoD",701.9,"NZ_KB903359.1_1570/1-379","Butyricimonas_synergistica_bcd",235.9,"NZ_KB903359.1_1559/1-127","Butyricimonas_synergistica_kal",710.7,"NZ_KB903359.1_1563/3-413","Butyricimonas_synergistica_kamA",999.3,"NZ_KB903359.1_1566/3-517","Butyricimonas_synergistica_kamD",493.4,"NZ_KB903359.1_1567/1-261","Butyricimonas_synergistica_kamE",439.3,"NZ_KB903359.1_1560/1-273","Butyricimonas_synergistica_kce",632.8,"NZ_KB903359.1_1561/2-347","Butyricimonas_synergistica_kdd","lysine"
"375","Cetobacterium_somerae",373.8,"NZ_KI518068.1_21/5-220","Cetobacterium_somerae_atoA",339,"NZ_KI518068.1_20/1-214","Cetobacterium_somerae_atoD",679.6,"NZ_KI518113.1_3/1-381","Cetobacterium_somerae_bcd",226.9,"NZ_KI518068.1_15/1-127","Cetobacterium_somerae_kal",688.1,"NZ_KI518068.1_12/9-412","Cetobacterium_somerae_kamA",995,"NZ_KI518068.1_9/3-517","Cetobacterium_somerae_kamD",477.2,"NZ_KI518068.1_8/1-261","Cetobacterium_somerae_kamE",449.5,"NZ_KI518068.1_14/1-272","Cetobacterium_somerae_kce",598.4,"NZ_KI518068.1_13/1-344","Cetobacterium_somerae_kdd","lysine"
"458","Clostridium_felsineum",348.5,"NZ_CP096980.1_2178/4-220","Clostridium_felsineum_atoA",344.2,"NZ_CP096980.1_2177/3-216","Clostridium_felsineum_atoD",693,"NZ_CP096980.1_1329/1-377","Clostridium_felsineum_bcd",220.6,"NZ_CP096980.1_275/1-127","Clostridium_felsineum_kal",676.3,"NZ_CP096980.1_272/3-416","Clostridium_felsineum_kamA",954.7,"NZ_CP096980.1_269/1-515","Clostridium_felsineum_kamD",473.7,"NZ_CP096980.1_268/1-261","Clostridium_felsineum_kamE",422.4,"NZ_CP096980.1_274/1-271","Clostridium_felsineum_kce",581.2,"NZ_CP096980.1_273/1-344","Clostridium_felsineum_kdd","lysine"
"474","Clostridium_lituseburense",355.1,"NZ_FNGW01000001.1_129/2-212","Clostridium_lituseburense_atoA",350.7,"NZ_FNGW01000001.1_130/1-215","Clostridium_lituseburense_atoD",701.2,"NZ_FNGW01000003.1_235/3-373","Clostridium_lituseburense_bcd",233.6,"NZ_FNGW01000001.1_132/1-125","Clostridium_lituseburense_kal",690.9,"NZ_FNGW01000001.1_127/4-410","Clostridium_lituseburense_kamA",971.5,"NZ_FNGW01000001.1_124/1-517","Clostridium_lituseburense_kamD",455.7,"NZ_FNGW01000001.1_123/2-259","Clostridium_lituseburense_kamE",444.9,"NZ_FNGW01000001.1_131/1-272","Clostridium_lituseburense_kce",592.8,"NZ_FNGW01000001.1_128/2-343","Clostridium_lituseburense_kdd","lysine"
"489","Clostridium_putrefaciens",374.1,"NZ_UFWZ01000001.1_2738/8-220","Clostridium_putrefaciens_atoA",323.1,"NZ_UFWZ01000001.1_2737/1-215","Clostridium_putrefaciens_atoD",696,"NZ_UFWZ01000001.1_2203/1-378","Clostridium_putrefaciens_bcd",225.1,"NZ_UFWZ01000001.1_2735/1-126","Clostridium_putrefaciens_kal",693.6,"NZ_UFWZ01000001.1_2740/3-416","Clostridium_putrefaciens_kamA",964.6,"NZ_UFWZ01000001.1_2743/1-517","Clostridium_putrefaciens_kamD",483.2,"NZ_UFWZ01000001.1_2744/1-260","Clostridium_putrefaciens_kamE",451.7,"NZ_UFWZ01000001.1_2736/1-273","Clostridium_putrefaciens_kce",603.6,"NZ_UFWZ01000001.1_2739/1-344","Clostridium_putrefaciens_kdd","lysine"
"507","Clostridium_senegalense",384.7,"NZ_JAHLNC010000004.1_18/1-218","Clostridium_senegalense_atoA",367.8,"NZ_JAHLNC010000004.1_17/1-216","Clostridium_senegalense_atoD",707.3,"NZ_JAHLNC010000019.1_8/1-379","Clostridium_senegalense_bcd",236.5,"NZ_JAHLNC010000011.1_8/1-126","Clostridium_senegalense_kal",698.7,"NZ_JAHLNC010000011.1_5/3-413","Clostridium_senegalense_kamA",998.6,"NZ_JAHLNC010000011.1_2/1-517","Clostridium_senegalense_kamD",485.6,"NZ_JAHLNC010000011.1_1/1-261","Clostridium_senegalense_kamE",459.8,"NZ_JAHLNC010000011.1_7/1-273","Clostridium_senegalense_kce",607.7,"NZ_JAHLNC010000011.1_6/1-347","Clostridium_senegalense_kdd","lysine"
